Id,Merchant Name,Merchant State,Program Area,Transaction Date,Payment Date,Transaction Amount,Item Description,Purchase Amount,Purchase Type,Annual Bid Number,Reference Number,Allocation Id
292581,IN OUR GEAR LLC,MD,FIRE DEPARTMENT - FIRES,12/9/2016,1/9/2017,80,Zour tools,Industrial Supplies - Not Elsewhere Classified,PCARD,,1413427533800044383216121101461500000001219592    ,1
292582,HARDLINE EQUIPMENT,CO,PUBLIC WORKS - PWOPS,12/15/2016,1/9/2017,940.4,Zonar,Automotive Parts and Accessories Stores,PCARD,,1413427533800045064716122002851500000000200836    ,2
292583,ZONAR SYSTEMS INC,WA,PUBLIC WORKS - PWOPS,12/19/2016,1/9/2017,136.9,Zonar,Business Services - Not Elsewhere Classified,PCARD,,1413427533000338358616122002851500000001350397    ,1
292584,ZONAR SYSTEMS INC,WA,PUBLIC WORKS - PWOPS,12/19/2016,1/9/2017,12.24,Zonar,Business Services - Not Elsewhere Classified,PCARD,,1413427533000338358616122002851500000001350401    ,1
292585,ZONAR SYSTEMS INC,WA,PUBLIC WORKS - PWOPS,12/19/2016,1/9/2017,1926.37,Zonar,Business Services - Not Elsewhere Classified,PCARD,,1413427533800045064716122002851500000001350672    ,2
292586,ZONAR SYSTEMS INC,WA,PUBLIC WORKS - PWOPS,12/19/2016,1/9/2017,1810.21,Zonar,Business Services - Not Elsewhere Classified,PCARD,,1413427533800045064716122002851500000001350676    ,3
292587,STAPLS7166212467000005,TX,PARKS AND REC - PARKS,11/26/2016,1/9/2017,8.69,ZENSP ABSTDESIGN ORIGINALS,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000240363316112803951200000000033848    ,2
292588,OFFICESUPPLY.COM,WI,SHERIFF DEPARTMENT - SHERF,12/8/2016,1/9/2017,50.1,"zebra pens, bic pens","Stationery, Office Supplies, Printing and Writing Paper",PCARD,,1413427533800031377916120901288600000001208326    ,1
292589,ID EDGE INC,CO,SHERIFF DEPARTMENT - SHERF,11/29/2016,1/9/2017,1980,"zebra color ribbon, computer supplies","Computers, Computer Peripheral Equipment, Software",PCARD,,1413427533800044225516120100055600000000433160    ,1
292590,BOBCAT OF ROCKIES OAKLAN,CO,PUBLIC WORKS - PWOPS,12/13/2016,1/9/2017,1287,Zaugg Snow Blower Chute,Commercial Equipment - Not Elsewhere Classified,PCARD,,1413427533800040863716121502163300000000009553    ,1
292591,SURVEYMONKEY.COM,CA,PARKS AND REC - PARKS,12/9/2016,1/9/2017,300,youth sports fee for survey monkey,Direct Marketing - Continuity/Subscription Merchants,PCARD,,1413427533000240366616121101461500000001868196    ,2
292592,COSTCO WHSE #0676,CO,DEPT OF FINANCE - TREAS,12/1/2016,1/9/2017,102.62,"YoBD SUNNY D, GRANOLA BARS",Wholesale Clubs,PCARD,,1413427533000240567916120200234900000002279589    ,2
292593,BACKCOUNTRY DELICATESSEN,CO,DEPT OF FINANCE - TREAS,12/3/2016,1/9/2017,204.9,YoBD SALAD AND SANDWHICH TRAY,"Eating Places, Restaurants",PCARD,,DEF1634014974254                                  ,2
292594,BACKCOUNTRY DELICATESSEN,CO,DEPT OF FINANCE - TREAS,12/10/2016,1/9/2017,282.85,YoBD SALAD AND SANDWHICH TRAY,"Eating Places, Restaurants",PCARD,,DEF1634715066291                                  ,2
292595,AMAZON MKTPLACE PMTS,WA,DEPT OF FINANCE - TREAS,12/22/2016,1/9/2017,348.46,YOBD OFFICE SUPPLIES,Book Stores,PCARD,,1413427533000342958716122303395900000000625660    ,1
292596,COSTCO WHSE #0676,CO,DEPT OF FINANCE - TREAS,12/1/2016,1/9/2017,29.92,"YoBD KASHI SEA, COOKIES",Wholesale Clubs,PCARD,,1413427533000240567916120200234900000002279593    ,2
292597,WALGREENS #0356,CO,DEPT OF FINANCE - TREAS,12/16/2016,1/9/2017,503.55,YOBD GIFTCARDS,Drug Stores and Pharmacies,PCARD,,1413427533000342958716121802512700000001864223    ,1
292598,WALGREENS #0356,CO,DEPT OF FINANCE - TREAS,12/20/2016,1/9/2017,485.7,YOBD GIFTCARDS,Drug Stores and Pharmacies,PCARD,,1413427533000342958716122103028900000001204647    ,1
292599,WALGREENS #0356,CO,DEPT OF FINANCE - TREAS,12/20/2016,1/9/2017,498.8,YOBD GIFTCARDS,Drug Stores and Pharmacies,PCARD,,1413427533000342958716122103028900000001204652    ,1
292600,WALGREENS #0356,CO,DEPT OF FINANCE - TREAS,12/22/2016,1/9/2017,323.8,YOBD GIFTCARDS,Drug Stores and Pharmacies,PCARD,,1413427533000342958716122303395900000001604971    ,1
292601,WALGREENS #12366,CO,DEPT OF FINANCE - TREAS,12/16/2016,1/9/2017,479.7,YOBD GIFTCARDS,Drug Stores and Pharmacies,PCARD,,1413427533000342958716121802512700000001864228    ,1
292602,KING SOOPERS #0001,CO,DEPT OF FINANCE - TREAS,12/10/2016,1/9/2017,19.41,"YoBD BANANAS, CLEM, BAKERY ITEMS",Grocery Stores and Supermarkets,PCARD,,1413427533000240567916121101540000000001360025    ,2
292603,YP  YP.COM ADVERTISING,GA,PARKS AND REC - PARKS,12/21/2016,1/9/2017,159,yellow pages,Advertising Services,PCARD,,DEF1635713912628                                  ,1
292604,THE HOME DEPOT #1532,CO,PARKS AND REC - PARKS,11/29/2016,1/9/2017,46.39,"yellow jacket trap, electrical tape, extension cord",Home Supply Warehouse Stores,ANNUAL BID,5933U0114,1413427533800031698816120100055600000000589338    ,2
292605,RR DONNELLEY-PAYMETRIC,NV,PARKS AND REC - PARKS,12/2/2016,1/9/2017,557,yellow cards,Miscellaneous Publishing and Printing,ANNUAL BID,5963L0115,1413427533000242626116120400407900000002056135    ,1
292606,4IMPRINT,WI,ENVIRONMENTAL HEALTH - ENVHL,12/21/2016,1/9/2017,1954.04,Year end swag purchases - poop bags and safety lights,Direct Marketing - Other Direct Marketers,PCARD,,1413427533000336676316122203213300000000977577    ,1
292607,MAGGIANOS DWNTWN DENVER,CO,CLERK AND RECORDER - CLERK,12/21/2016,1/9/2017,300,YE Holiday Staff Event-Lunch,"Eating Places, Restaurants",PCARD,,DEF1635813894345                                  ,1
292608,AMAZON.COM AMZN.COM/BILL,WA,CITY COUNCIL - CCOUN,12/13/2016,1/9/2017,328.5,Yard signs being donated to neighborhood group,Book Stores,PCARD,,1413427533000309817616121401979600000001811644    ,1
292609,ANIXTER/CLARK/TRI-ED,IL,SHERIFF DEPARTMENT - SHERF,11/29/2016,1/9/2017,154.1,yale norton door controls  COJL,Electrical Parts and Equipment,PCARD,,1413427533000267585916120100055600000002065375    ,1
292610,AMAZON DIGITAL SVCS 866-2,WA,DENVER PUBLIC LIBRARY - BOOKS,12/5/2016,1/9/2017,100,XBOX GIFT CARD DIGITAL,Record Stores,PCARD,,1413427533000244548516120600742500000000685247    ,1
292611,NAPA STORE 3600001,CO,PUBLIC WORKS - PWOPS,12/19/2016,1/9/2017,31.99,wrong part vendor will issue credit invoice  #185613,Automotive Parts and Accessories Stores,PCARD,,1413427533800037113216122103028900000000179696    ,1
292612,SOL SNAP-ON INDUSTRIAL,WI,PUBLIC WORKS - PWOPS,12/5/2016,1/9/2017,75.04,wrench for cpc shop  inv 205793,Hardware Stores,PCARD,,1413427533800026400616120600742500000000921696    ,1
292613,CORNER BAKERY 1510,CO,TECHNOLOGY SERVICES - EAPPS,12/20/2016,1/9/2017,241.5,Workday working lunch,"Eating Places, Restaurants",PCARD,,DEF1635613660886                                  ,1
292614,CORNER BAKERY 1510,CO,TECHNOLOGY SERVICES - EAPPS,12/21/2016,1/9/2017,240,Workday working lunch,"Eating Places, Restaurants",PCARD,,DEF1635713916664                                  ,1
292615,KING SOOPERS #0001,CO,CAREER SERVICE AUTH. - CSAHR,12/2/2016,1/9/2017,87.14,Workday Training Snacks,Grocery Stores and Supermarkets,PCARD,,1413427533800042414716120400407900000001694620    ,1
292616,OFFICEMAX/OFFICEDEPOT6148,CO,CAREER SERVICE AUTH. - CSAHR,12/6/2016,1/9/2017,22.98,Workday Training Notebook Labels,"Office, School Supply, and Stationery Stores",PCARD,,1413427533800042414716120801103700000000393517    ,1
292617,CORNER BAKERY 1510,CO,CAREER SERVICE AUTH. - CSAHR,12/7/2016,1/9/2017,504,Workday Training Lunches,"Eating Places, Restaurants",PCARD,,DEF1634314131733                                  ,1
292618,CORNER BAKERY 1510,CO,CAREER SERVICE AUTH. - CSAHR,12/8/2016,1/9/2017,637,Workday Training Lunches,"Eating Places, Restaurants",PCARD,,DEF1634414308985                                  ,1
292619,OFFICE DEPOT #1080,CO,CAREER SERVICE AUTH. - CSAHR,12/3/2016,1/9/2017,77.95,Workday Training Folders,Direct Marketing - Combination Catalog and Retail Merchants,PCARD,,1413427533800042414716120500564800000001069877    ,1
292620,4IMPRINT,WI,DEPT OF FINANCE - TREAS,12/12/2016,1/9/2017,833.68,Workday Awards/Prizes; Notebooks; Mgmt Analyst,Direct Marketing - Other Direct Marketers,PCARD,,1413427533000334814216121301796900000000673042    ,1
292621,PINNACLE PROMOTIONS,GA,DEPT OF FINANCE - TREAS,11/29/2016,1/9/2017,541.3,"Workday Awards/Prizes; 3.5 in Round Buttons, Mkt Comm Specialist",Miscellaneous General Merchandise Stores,PCARD,,1413427533000334814216113004302500000001204622    ,1
292622,PINNACLE PROMOTIONS,GA,DEPT OF FINANCE - TREAS,12/14/2016,1/9/2017,-126,"Workday Awards/Prizes; 3.5 in Round Buttons, Mkt Comm Specialist",Miscellaneous General Merchandise Stores,PCARD,,DEF1635014422923                                  ,1
292623,SPORTS FACILITIES GROUP I,CA,PARKS AND REC - PARKS,12/16/2016,1/9/2017,495.3,Work out equipment,Commercial Equipment - Not Elsewhere Classified,PCARD,,1413427533800043362716121802512700000002275021    ,1
292624,AMAZON MKTPLACE PMTS,WA,PUBLIC WORKS - PWOPS,12/6/2016,1/9/2017,496.55,work lights for cpc shop  inv 114-2505733-8489859,Book Stores,PCARD,,1413427533800026400616120700921200000000654145    ,1
292625,MOUNTAIN PINE MFG INC,CO,PARKS AND REC - PARKS,12/6/2016,1/9/2017,1384,woodstraw for seeding Red Rocks,Nondurable Goods - Not Elsewhere Classified,PCARD,,DEF1634213939146                                  ,1
292626,HAYNEEDLE INC,NE,PARKS AND REC - PARKS,12/7/2016,1/9/2017,644,wooden swing sets for bike park,Discount Stores,PCARD,,1413427533000240357516120801103700000001962970    ,1
292627,THE HOME DEPOT #1505,CO,SHERIFF DEPARTMENT - SHERF,12/15/2016,1/9/2017,25.7,"wood filler, tape, spackling, shop supplies",Home Supply Warehouse Stores,ANNUAL BID,5933U0114,1413427533800031377916121802512700000000705811    ,3
292628,THE HOME DEPOT #1522,CO,THEATERS AND ARENAS - THTRS,11/28/2016,1/9/2017,29.13,"wood filler, float tool, oak trim piece for Dans office work",Home Supply Warehouse Stores,ANNUAL BID,5933U0114,1413427533000240589316113004302500000000574490    ,1
292629,"FAISON OFFICE PRODUCTS,",CO,SHERIFF DEPARTMENT - SHERF,12/7/2016,1/9/2017,17.45,wood clipboards,"Office, School Supply, and Stationery Stores",ANNUAL BID,5595N0116,1413427533000267693116120801103700000002162002    ,1
